GEOID,zip_code,route_id,total_pop,black_pop,hispanic_pop,asian_pop,white_pop
390610095002007,45205,4951,48,7,4,5,23
390610247001004,45227,25,39,0,0,0,39
390610039003002,45207,31,80,51,0,0,26
390610274003011,45215,43,0,0,0,0,0
390610264005007,45203,49,64,55,3,2,3
390610052002007,45209,2471,115,5,2,0,101
390610276001003,45213,3,0,0,0,0,0
390610274001013,45215,43,0,0,0,0,0
391650319061019,45040,71,58,0,16,8,31
390610231001022,45241,43,0,0,0,0,0
390610055001022,45227,28,27,12,4,0,7
390250405001014,45150,29,31,0,0,0,31
391650320061002,45040,71,183,3,9,4,161
391650321002108,45040,71,4,0,1,0,3
391650319061008,45040,71,116,2,0,6,97
390610075002000,45223,27,188,20,5,0,156
390610239023017,45242,3,0,0,0,0,0
390610218023010,45239,17,59,40,0,0,13
390610216042009,45231,17,104,25,8,1,59
390610215053005,45240,20,95,46,12,1,28
390610016002021,45202,100,44,27,1,0,13
390610277003010,45223,27,55,7,0,0,39
390610061001048,45216,78,21,10,11,0,0
390610056004024,45227,25,30,16,0,0,14
390610232222008,45215,43,27,0,2,0,24
390610247002018,45227,28,0,0,0,0,0
390610055004013,45227,28,39,18,10,0,5
390610056004008,45227,25,16,5,3,0,4
390610265002043,45202,85,0,0,0,0,0
390610232221006,45215,2421,126,6,4,1,110
390610100042002,45238,64,81,58,7,0,13
390610063005003,45237,43,32,20,9,2,0
390610240013004,45236,4,31,0,4,6,14
390610230013013,45246,67,92,21,30,1,29
390610094001020,45205,4951,43,5,16,0,17
390610226023007,45215,78,42,4,4,0,34
390610086011019,45211,64,56,46,0,1,8
390610274001014,45215,43,0,0,0,0,0
390610209025008,45211,21,53,6,5,3,32
390610070003003,45220,19,165,13,6,57,82
390610016001004,45214,64,3,0,0,0,2
390610269001027,45214,6,10,10,0,0,0
390610211024002,45233,3381,563,4,2,0,554
390610071002007,45220,19,264,7,2,88,147
390610240014008,45236,4,81,2,1,7,68
390610057022005,45213,2,128,25,6,1,91
390610263001117,45204,50,0,0,0,0,0
390610106001034,45233,3381,26,0,0,0,24
390610230011010,45241,67,0,0,0,0,0
390610243013002,45249,71,0,0,0,0,0
390610214014003,45238,32,9,2,0,0,6
390610227002008,45215,78,35,31,0,0,0
390610247001007,45227,11,68,0,1,0,64
390610060002007,45215,78,0,0,0,0,0
390610238002011,45236,5172,8,3,1,2,0
390610037001005,45206,3171,13,6,1,2,1
390610239011003,45242,67,107,4,1,10,87
390610230022006,45241,67,31,0,1,4,17
390610223012024,45246,78,0,0,0,0,0
390610266002054,45226,28,11,5,0,1,4
390610266002058,45226,28,0,0,0,0,0
390610240012002,45242,3,42,3,0,0,39
390610226022013,45215,78,30,1,1,0,26
390610260011036,45030,52,0,0,0,0,0
390610214014007,45238,77,28,1,4,6,14
390610267001006,45206,43,6,3,0,0,3
390610040002004,45207,4,37,29,3,3,1
390610029011018,45214,1791,23,0,2,0,17
390610263001074,45203,33,0,0,0,0,0
390610107001008,45238,32,0,0,0,0,0
390610215094004,45231,17,26,11,4,0,9
390610256003004,45212,4,156,12,2,4,134
390610224001004,45246,23,391,65,23,0,293
390610215041004,45240,23,174,81,52,2,26
390610221022007,45231,20,51,3,1,10,31
390610226022015,45215,78,22,0,3,0,19
390610218012007,45239,17,14,1,1,0,4
390610217022001,45231,16,373,278,1,0,78
390610002001000,45214,16,314,284,5,0,7
390610053023001,45209,51,75,2,7,10,50
390610051001000,45208,4023,371,7,4,1,351
390610055004007,45227,11,51,28,0,0,17
390610053021000,45227,28,9,0,1,0,8
390610217012001,45231,17,525,296,4,1,204
390610252001006,45212,4073,55,1,0,0,43
390610264003021,45202,49,0,0,0,0,0
390610267001031,45206,1,12,4,0,1,7
390610036001002,45206,31,7,7,0,0,0
390610263001081,45203,31,0,0,0,0,0
390610110002002,45237,43,7,0,1,0,2
390610082022002,45224,4012,385,121,87,2,153
390610215091018,45240,17,196,167,9,0,14
390610205043011,45251,17,0,0,0,0,0
390610268001007,45202,11,17,5,0,0,11
390610251022010,45255,30,69,0,1,0,62
390610215093006,45231,17,16,2,1,0,9
390610224002011,45246,78,40,0,1,1,31
390610269001024,45214,31,37,32,0,0,5
390610258004007,45217,78,30,2,0,2,21
390610213023000,45233,3381,0,0,0,0,0
390610238005002,45236,4,25,6,3,1,14
390610065022003,45229,43,67,4,8,5,45
390610049003003,45208,25,46,0,4,4,35
