SYSTEM,ROUTE,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,,,,,,,,,,,,
,305,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,344-13131,1356,1396,921,441,437,597,,,,,,,,,,,,
,439,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,44-13131,139,145,104,63,n/a,n/a,,,,,,,,,,,,
,444,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,445,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,446,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,450,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,456-13131,79,84,60,26,n/a,n/a,,,,,,,,,,,,
,460-13131,4575,4764,3257,1704,1868,2210,,,,,,,,,,,,
,484,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,485,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,487-13131,3226,3436,1963,546,625,744,,,,,,,,,,,,
,490,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,501-13131,1451,1465,1096,418,313,347,,,,,,,,,,,,
,534-13131,1473,1502,1015,580,566,667,,,,,,,,,,,,
,550-13131,1191,1273,797,383,368,404,,,,,,,,,,,,
,577-13131,745,973,638,246,231,246,,,,,,,,,,,,
,600,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,601-13131,922,937,848,396,506,541,,,,,,,,,,,,
,602-13131,18722,2135,1071,293,286,347,,,,,,,,,,,,
,603-13131,6924,7261,5046,3039,3133,3912,,,,,,,,,,,,
,605-13131,2069,2350,1682,718,684,744,,,,,,,,,,,,
,607-13131,45,54,35,29,21,33,,,,,,,,,,,,
,608,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,611-13131,1487,1588,1127,642,752,968,,,,,,,,,,,,
,612-13131,1071,1143,780,444,520,684,,,,,,,,,,,,
,617,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,620,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,622,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,625-13131,272,255,220,84,61,66,,,,,,,,,,,,
,626,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
