GEOID,zip_code,route_id,total_pop,black_pop,hispanic_pop,asian_pop,white_pop
270530214002003,55422,14-113,65,1,1,0,55
270531098003004,55410,6-113,32,0,2,0,28
270531009001014,55412,22-113,69,16,24,20,9
270530239033004,55439,6-113,0,0,0,0,0
270370601041001,55118,62-113,48,0,17,1,26
270530267132009,55369,767-113,87,1,9,2,71
270530268181000,55429,724-113,158,21,24,61,51
270530263011009,55391,672-113,0,0,0,0,0
270531051002000,55405,4-113,0,0,0,0,0
270530121022001,55417,515-113,100,20,7,0,72
270531256002005,55414,67-113,50,1,0,1,42
270530207002025,55429,721-113,75,8,26,0,36
270530120033002,55419,18-113,26,0,1,0,19
270030504021013,55303,850-113,4,3,1,0,0
270030506071010,55433,850-113,92,0,7,0,79
270530264031017,55305,672-113,20,0,1,0,19
270530269084005,55316,766-113,50,2,0,0,41
270530219003035,55426,705-113,28,4,0,2,21
270370601011010,55118,71-113,84,5,14,3,52
270530239033010,55439,6-113,0,0,0,0,0
271630710133003,55125,355-113,24,1,5,0,13
271630710062009,55125,351-113,0,0,0,0,0
270530233003015,55343,12-113,47,3,2,0,37
270530267021000,55369,724-113,0,0,0,0,0
270530236001002,55424,6-113,255,0,0,4,245
270530231001002,55416,6-113,85,1,12,1,68
270530236003011,55410,6-113,50,0,3,4,43
270530081004006,55408,6-113,128,0,2,1,107
270530261032018,55343,12-113,0,0,0,0,0
270530259051029,55438,540-113,136,1,0,5,127
270030508294009,55449,865-113,0,0,0,0,0
270030507044006,55433,805-113,34,2,0,0,31
270030507102027,55433,850-113,28,0,2,0,26
270530215031006,55428,716-113,325,121,44,12,137
270370601042000,55118,75-113,0,0,0,0,0
270370603023008,55075,68-113,50,0,5,4,39
271450006022033,56301,887-113,4,1,1,2,0
270030508252004,55434,854-113,101,0,1,6,90
270030508081000,55434,831-113,113,0,1,7,102
270030508282017,55449,250-113,49,0,24,4,21
270030512034022,55432,10-113,159,2,4,24,123
270030510012026,55432,59-113,0,0,0,0,0
270030506022009,55433,850-113,48,8,7,8,19
270030505011000,55303,850-113,24,0,0,0,20
270030514004003,55421,824-113,121,37,32,2,49
270030512032005,55432,825-113,35,3,0,5,22
270030505012027,55303,850-113,27,0,0,0,27
270530244003009,55423,4-113,36,1,6,0,28
270530242002002,55423,4-113,43,1,4,1,37
270530248023004,55423,5-113,38,0,2,2,31
271630701071015,55025,288-113,56,1,3,0,50
270030508103016,55434,805-113,0,0,0,0,0
270030507064011,55448,805-113,0,0,0,0,0
270030502273010,55303,852-113,151,20,1,4,120
270030505011012,55303,850-113,0,0,0,0,0
270030505013012,55303,805-113,47,2,0,0,43
270030508103015,55434,805-113,0,0,0,0,0
270030508294028,55449,25-113,0,0,0,0,0
270030514004006,55421,824-113,125,50,20,1,46
271630707033019,55082,294-113,0,0,0,0,0
270030511033009,55432,10-113,313,238,3,15,34
270030512022001,55432,59-113,51,9,8,1,25
270030510012025,55432,59-113,0,0,0,0,0
270030511013009,55432,852-113,16,4,1,0,8
270370604012006,55075,68-113,47,1,4,0,38
270530117042005,55417,552-113,73,3,3,0,59
270530236003015,55424,6-113,56,0,2,3,48
271630712084017,55016,365-113,42,0,0,2,35
271630705023012,55082,294-113,0,0,0,0,0
270530252014019,55420,538-113,88,0,22,1,60
270530262022003,55345,671-113,0,0,0,0,0
270530242002010,55423,538-113,59,0,0,0,57
270530201023009,55418,25-113,70,0,0,0,65
270530269082009,55316,766-113,183,44,5,1,130
270530259072008,55438,597-113,29,0,0,2,23
270530240032003,55435,587-113,84,0,3,11,63
271630709093010,55128,294-113,30,0,6,9,14
270030507113004,55448,59-113,27,1,0,0,25
270030514002009,55421,11-113,153,64,15,11,57
270530218001000,55422,7-113,0,0,0,0,0
270531018003020,55413,17-113,28,0,2,1,19
270530272032014,55391,645-113,123,0,4,0,119
270531263004024,55411,22-113,14,8,3,3,0
270530269031015,55316,766-113,34,20,1,0,12
270530210011011,55422,14-113,48,0,10,1,36
270531005001002,55418,11-113,53,0,1,0,41
270531055002006,55403,25-113,31,0,3,3,18
270531005001009,55418,11-113,56,2,6,9,38
270530006031020,55418,4-113,0,0,0,0,0
270530107002015,55419,4-113,32,0,1,3,26
270531044002001,55402,5-113,0,0,0,0,0
270370602023015,55075,68-113,23,0,0,0,18
270370605063004,55076,68-113,0,0,0,0,0
270370602012003,55075,71-113,71,19,4,9,33
271230430021015,55104,21-113,183,2,4,10,165
271230422011005,55117,71-113,111,13,1,29,65
271230332001016,55114,355-113,0,0,0,0,0
271230312003009,55103,3-113,33,4,0,1,20
271230426021016,55109,219-113,46,6,2,1,36
271230404013003,55110,265-113,129,2,7,12,100
271230355001002,55104,21-113,37,0,8,0,26
271230324002006,55104,67-113,128,46,15,40,22
271230317021002,55106,74-113,56,6,1,29,18
271230350003014,55104,63-113,22,0,0,0,21
271230359001007,55102,63-113,63,0,15,5,38
271230330002017,55130,71-113,0,0,0,0,0
271230303001017,55117,61-113,51,4,4,2,40
271230423012011,55109,270-113,0,0,0,0,0
271230419001001,55113,61-113,43,0,0,1,38
271230302012009,55108,921-113,0,0,0,0,0
271230430021037,55105,70-113,39,0,2,0,36
271230303001006,55117,65-113,58,0,3,0,50
271230404023006,55110,219-113,59,4,1,2,51
271230346011021,55106,70-113,0,0,0,0,0
271230357002010,55105,70-113,66,1,4,0,60
271230407072004,55126,62-113,93,4,3,6,76
271230376011003,55116,46-113,48,2,2,0,42
271230358001004,55102,63-113,255,30,7,0,211
271230311001003,55106,64-113,0,0,0,0,0
271230317011021,55106,74-113,71,3,10,30,23
271230425041001,55119,355-113,0,0,0,0,0
271230429003006,55105,83-113,31,4,0,0,25
271230430012003,55116,74-113,65,2,0,7,47
271230425042005,55119,350-113,0,0,0,0,0
271230303004024,55117,61-113,24,0,0,0,21
271230411075006,55112,4-113,115,4,53,10,44
271230346013003,55106,63-113,73,2,6,29,27
271230428001005,55103,3-113,39,10,5,2,18
271230305002016,55117,62-113,40,7,14,15,2
271230326003001,55103,67-113,132,40,11,51,22
271230307025008,55119,64-113,0,0,0,0,0
271230422024009,55117,71-113,81,7,6,39,28
