City,Number of route areas,Number of zip codes,Black zip-code dissimilarity,Black transit dissimilarity,Asian zip-code dissimilarity,Asian transit dissimilarity,Hispanic zip-code dissimilarity,Hispanic transit dissimilarity,diff_count
"Oklahoma City, OK",46,30,0.43657252052417184,0.368572462284441,0.27304739248884213,0.22795860611557012,0.42999973900231137,0.38771058613199577,-0.5333333333333333
"Philadelphia, PA",172,147,0.5548881512957242,0.4463701356714497,0.35482518355801074,0.25616787271698077,0.4100096442946476,0.34211590641298306,-0.17006802721088435
"Phoenix, AZ",113,99,0.2226187885908883,0.17750262882058626,0.26961159172236204,0.21844014040778137,0.3846214966747629,0.29151789387321636,-0.1414141414141414
"Portland, OR",63,94,0.3266091872725426,0.28713895430058417,0.28908764904816436,0.2690970849249412,0.2417462853762254,0.20851030812195745,0.32978723404255317
"Riverside, CA",71,46,0.23047503462831587,0.19233209679044092,0.2903847775574646,0.23351948540415948,0.27426264055470284,0.23568452361109987,-0.5434782608695652
"Sacramento, CA",47,59,0.23931244247988068,0.2177437898098756,0.3157726202163572,0.281579300659661,0.2091035010426145,0.1915176360317943,0.2033898305084746
"San Antonio, TX",65,93,0.3434849582443336,0.3189934247395953,0.3858274292360656,0.35004862839896583,0.35767928504888413,0.318842243413794,0.3010752688172043
"San Diego, CA",82,105,0.2858525831690608,0.28055894661043407,0.35737194210483314,0.3411403078749054,0.3922963997776634,0.36316154279819296,0.21904761904761905
"San Francisco, CA",33,70,0.36613635764010743,0.27082625215464445,0.2721518023013105,0.19672181826260263,0.2861760847309655,0.19649950347189324,0.5285714285714286
"San Jose, CA",61,66,0.20301963871581857,0.1323216366730842,0.33568153063433737,0.23736095561507972,0.36412528977267306,0.26939668070597556,0.07575757575757576
"St. Louis, MO-IL",86,78,0.5731067725560811,0.5006928842704924,0.4383701939993063,0.37272072585032784,0.2360253569587085,0.21864565842548067,-0.10256410256410256
"Tampa, FL",50,42,0.33097838415787634,0.28636402148002604,0.1981635157439331,0.21950370585658815,0.26035196160800844,0.23267350043889629,-0.1904761904761905
"Washington, DC-MD-VA",181,214,0.5191925777077034,0.493100746507951,0.3424330169859205,0.3206403673684779,0.33346907398490727,0.30707988547506804,0.1542056074766355
"Anaheim, CA",120,68,0.3892876782577829,0.3558576957531535,0.3574117468316888,0.2347560338079988,0.3860786890196503,0.2468028431340357,-0.7647058823529411
"Fresno, CA",23,16,0.20101833347130532,0.09867027989549752,0.18939202766003835,0.11327509684441046,0.2231130476242111,0.13537403170226647,-0.4375
"Honolulu, HI",38,79,0.28513222468890426,0.3027251389893675,0.2493667700154297,0.2613294534451061,0.17278054542813517,0.17106536207133036,0.5189873417721519
"Milwaukee, WI",47,43,0.6678123287077968,0.4048231472191137,0.2749598694693121,0.1635970368934183,0.48703538762774906,0.3649408378627951,-0.09302325581395347
"Oakland, CA",85,127,0.363870634358342,0.33528455448763816,0.34829742097913735,0.31969867719430567,0.3488835724178369,0.3103819695059893,0.33070866141732286
"Orlando, FL",68,69,0.4375195057529595,0.4140428604018691,0.2251078791804008,0.1989629690371673,0.33326115320794736,0.2943929579264004,0.0144927536231884
"Pittsburgh, PA",98,97,0.475463781320137,0.3962217961628514,0.4054189792852074,0.37715988537448863,0.13424074408267797,0.11989333352806124,-0.01030927835051546
"Raleigh, NC",24,35,0.3481193664498502,0.3075122649804285,0.24380648878408745,0.2589671260524361,0.24100033877193208,0.23124793987887832,0.3142857142857143
"Seattle, WA",96,186,0.379108603681217,0.36684287320999687,0.27080531072838726,0.25859004755663,0.22676500156417176,0.22199618128567075,0.4838709677419355
"Tulsa, OK",31,28,0.3016782443475714,0.2683348961151843,0.34268436427948923,0.2834524293485097,0.3764801578450717,0.28224082329528166,-0.10714285714285714
"Virginia Beach, VA",61,62,0.31837573708499045,0.29086770837933296,0.26958869187334666,0.258258986153098,0.15427762194849431,0.1473976359408065,0.01612903225806451
"Wichita, KS",22,19,0.33696424767641014,0.31169049779632,0.3349622288134206,0.34840556383236837,0.247604826798556,0.21050036630379243,-0.15789473684210523
"Bakersfield, CA",13,16,0.20014806021607123,0.1522319429718631,0.4012656655325615,0.342396373297255,0.34589255529367613,0.25242275744006215,0.1875
